CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
317.0,23.2760848999023,39.0148199758222,-0.22,31.0,0.021
318.0,25.5405330657959,39.13941444050182,-0.033,22.0,0.022
319.0,23.9578189849854,35.15854211287065,-0.138,22.0,0.022
320.0,21.6276569366455,28.50302007463244,0.1,18.0,0.017
321.0,25.6531505584717,33.922789467705634,0.03,18.0,0.022
322.0,29.5752391815186,31.206570352826805,0.029,14.0,0.01
323.0,22.4508304595947,24.79895362854004,1.53,5.0,0.026
324.0,27.3556709289551,37.27675428390503,-0.132,20.0,0.017
325.0,28.1075973510742,30.055514408991897,-0.114,13.0,-0.003
326.0,9.42673206329346,9.42673206329346,0.0,1.0,0.0
327.0,44.7962532043457,44.7962532043457,0.0,1.0,0.0
328.0,19.2510147094727,19.2510147094727,0.0,1.0,0.0
329.0,20.3587207794189,20.3587207794189,0.0,1.0,0.0
330.0,13.3373365402222,13.3373365402222,0.0,1.0,0.0
331.0,19.8318881988525,20.32627391815185,0.197,2.0,0.016
333.0,30.7410106658936,31.469132614135766,0.723,5.0,0.007
334.0,18.9363059997559,18.9363059997559,0.0,1.0,0.0
335.0,20.7705345153809,20.7705345153809,0.0,1.0,0.0
336.0,14.4737701416016,14.4737701416016,0.0,1.0,0.0
337.0,31.4043884277344,34.786276157085716,-0.334,13.0,0.015
338.0,25.8525810241699,27.952136866251628,0.001,15.0,0.007
339.0,18.215015411377,18.215015411377,0.0,1.0,0.0
340.0,16.9880046844482,16.9880046844482,0.0,1.0,0.0
341.0,31.2547874450684,31.019381046295198,0.374,4.0,-0.007
343.0,42.0568695068359,42.798391977945926,0.423,3.0,0.009
344.0,21.8507766723633,22.4788818359375,0.606,2.0,0.019
345.0,23.6034088134766,26.88245253129441,0.137,11.0,0.017
346.0,22.6582794189453,36.58941129537729,-0.35,26.0,0.021
347.0,19.8992919921875,19.8992919921875,0.0,1.0,0.0
348.0,21.4223594665527,33.444108529524364,-0.684,22.0,0.027
349.0,23.2874450683594,31.624208831787108,-1.145,20.0,0.02
