TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
34.0,26.0,2.459276201504524,21.0,153.0811767578125,75.21529388427734,39.824344635009766,7.421589374542236,0.0,53.0,36.0,0.475,-0.388
34.0,27.0,2.3737365991346424,22.0,140.26739501953125,74.75907897949219,55.890052795410156,6.474613189697266,0.0,54.0,30.0,,
34.0,28.0,2.677945096238595,6.0,173.40000915527344,53.29999542236328,17.441329956054688,8.049844741821289,45.0,,,0.45,0.426
34.0,29.0,2.6476513059438074,19.0,79.64678955078125,119.34403991699219,34.94792938232422,5.960111618041992,24.0,56.0,35.0,0.542,-0.029
34.0,46.0,2.78282197786257,6.0,196.47946166992188,45.94520568847656,25.04680633544922,7.490633487701416,45.0,,,0.183,-0.024
34.0,48.0,2.63200044084963,6.0,92.53857421875,123.4637451171875,49.62940979003906,7.651093482971191,14.0,,,0.914,-0.083
34.0,49.0,2.819842047543543,14.0,188.45001220703125,37.850006103515625,30.674089431762695,7.589465141296387,16.0,,,0.512,0.606
34.0,51.0,2.574863451505443,19.0,107.25881958007812,102.83529663085938,25.00305938720703,7.05607795715332,24.0,,,0.66,-0.107
35.0,13.0,2.4245807385600533,12.0,122.83152770996094,77.6596908569336,66.79586029052734,8.349481582641602,0.0,47.0,40.0,4.445,-1.042
35.0,25.0,2.9441971562223026,20.0,159.11537170410156,48.576927185058594,29.02518653869629,8.23687744140625,0.0,52.0,34.0,1.614,-2.116
35.0,26.0,2.5213431680796385,21.0,148.83106994628906,79.26351165771484,42.19789505004883,7.207354545593262,0.0,53.0,36.0,3.034,-0.851
35.0,28.0,2.1587988596668,6.0,174.42308044433594,57.11538314819336,19.691856384277344,8.043152809143066,45.0,,,1.07,1.189
35.0,29.0,2.6476513059438074,19.0,73.14450073242188,123.26835632324219,37.657073974609375,6.569669246673584,24.0,56.0,35.0,2.039,-0.537
35.0,30.0,2.356194490192345,22.0,128.25001525878906,85.75000762939453,27.577163696289062,5.656853675842285,27.0,57.0,39.0,1.483,-0.036
35.0,31.0,2.723368238107095,6.0,127.226806640625,103.51032257080078,25.992860794067383,8.833512306213379,19.0,,,1.895,-0.129
35.0,46.0,2.863292985466785,6.0,196.34906005859375,45.97168731689453,25.961143493652344,6.730666637420654,45.0,,,0.817,1.382
35.0,48.0,2.6279865910336895,6.0,89.46009826660156,125.20201110839844,54.201663970947266,7.503815174102783,14.0,,,-3.463,-0.185
35.0,49.0,2.846151815426599,14.0,191.64276123046875,37.32612609863281,33.23401641845703,7.736579895019531,16.0,,,1.794,-0.477
