ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
25,6,1,72.34873949579831,120.74789915966386,0,6
25,7,1,61.36974789915966,136.5420168067227,0,7
25,8,1,47.784946236559136,134.81720430107526,0,8
25,9,1,52.56884057971015,152.2536231884058,0,9
25,10,1,36.894904458598724,157.09872611464968,0,10
25,11,1,63.38202247191011,156.45318352059925,0,11
25,12,1,70.51,158.35666666666665,0,12
25,13,1,44.731988472622476,173.3515850144092,0,13
25,14,1,51.12386706948641,197.0060422960725,0,14
25,15,1,58.96885813148789,195.6955017301038,0,15
25,16,1,38.634980988593156,195.0,0,16
26,1,1,109.3609756097561,58.65853658536585,0,1
26,2,1,92.54243542435424,85.47970479704797,0,2
26,3,1,69.9077380952381,96.16071428571429,0,3
26,4,1,88.18543046357615,104.57615894039735,0,4
26,5,1,68.14634146341463,107.99512195121952,0,5
26,6,1,77.15748031496064,115.16535433070867,0,6
26,7,1,82.16981132075472,124.66037735849056,0,7
26,8,1,64.2453531598513,135.7174721189591,0,8
26,9,1,51.927536231884055,130.28985507246378,0,9
26,10,1,55.78169014084507,139.83802816901408,0,10
26,11,1,39.16901408450704,154.82535211267606,0,11
26,12,1,66.25167785234899,154.51677852348993,0,12
26,13,1,76.63461538461539,146.14743589743588,0,13
26,14,1,46.83695652173913,158.5326086956522,0,14
26,15,1,54.151898734177216,160.3860759493671,0,15
26,16,1,70.12209302325581,167.57558139534885,0,16
26,17,1,46.343589743589746,185.76410256410256,0,17
26,18,1,53.78260869565217,185.35326086956522,0,18
26,19,1,61.964285714285715,187.32142857142858,0,19
26,20,1,40.96864111498258,196.42857142857142,0,20
26,21,1,52.44692737430167,209.79888268156424,0,21
26,22,1,59.9625,209.45625,0,22
27,1,1,112.04850746268657,48.582089552238806,0,1
27,2,1,119.78688524590164,50.84699453551912,0,2
27,3,1,103.7457627118644,68.58757062146893,0,3
27,4,1,82.79527559055119,68.65748031496064,0,4
27,5,1,77.52808988764045,85.46816479400749,0,5
27,6,1,97.9951690821256,84.7536231884058,0,6
27,7,1,59.97229916897507,93.96398891966759,0,7
27,8,1,81.56375838926175,94.97651006711409,0,8
27,9,1,82.74407582938389,107.83412322274881,0,9
27,10,1,53.22878228782288,114.76752767527675,0,10
27,11,1,66.31868131868131,112.48351648351648,0,11
27,12,1,36.3046357615894,143.52097130242825,0,12
27,13,1,55.167597765363126,126.50279329608938,0,13
27,14,1,69.68316831683168,129.43564356435644,0,14
27,15,1,75.59278350515464,135.49484536082474,0,15
27,16,1,59.67553191489362,139.62765957446808,0,16
27,17,1,42.656603773584905,152.29811320754717,0,17
27,18,1,50.12558139534884,152.75813953488372,0,18
27,19,1,60.40291262135922,158.2864077669903,0,19
27,20,1,67.0901287553648,162.88841201716738,0,20
27,21,1,49.25,184.81854838709677,0,21
27,22,1,42.24907063197026,190.81412639405204,0,22
27,23,1,57.31140350877193,187.08771929824562,0,23
27,24,1,33.758620689655174,185.58620689655172,0,24
27,25,1,59.24875621890547,210.18905472636817,0,25
27,26,1,36.724489795918366,212.6377551020408,0,26
27,27,1,46.76538461538462,216.87692307692308,0,27
28,1,1,111.6955017301038,47.43598615916955,0,1
28,2,1,126.08292682926829,42.0,0,2
28,3,1,109.0204081632653,62.18877551020408,0,3
28,4,1,79.31672597864768,66.42704626334519,0,4
28,5,1,82.21232876712328,78.8013698630137,0,5
28,6,1,101.56387665198238,80.91189427312776,0,6
28,7,1,61.15512465373961,88.7645429362881,0,7
