ImageNumber,ObjectNumber,Orientation,lable,divideFlag
10,1,64.65770195856227,1.0,False
10,2,84.76188053408795,2.0,False
10,3,-59.97676104744955,3.0,False
10,4,-12.769707973879942,4.0,False
10,5,20.95520466498115,5.0,False
10,6,23.97382118159936,6.0,False
10,7,-31.735765584425888,7.0,False
10,8,26.37430612231437,6.0,False
10,9,60.238355919499085,8.0,False
10,10,80.37028718189846,9.0,False
10,11,59.20353160491533,10.0,True
10,12,-77.76369941479977,12.0,False
10,13,89.13153648294633,13.0,False
11,1,64.69814081576132,1.0,False
11,2,85.03403862690651,2.0,True
11,3,-60.13935704259387,3.0,False
11,4,-12.867848334556124,4.0,False
11,5,21.00262291773121,5.0,False
11,6,19.83423775924453,6.0,False
11,7,-30.994513542418108,7.0,False
11,8,60.76079726884287,8.0,False
11,9,81.02583680338627,9.0,False
11,10,66.60383178622628,10.0,False
11,11,51.47403145152288,10.0,False
11,12,-78.30025566010262,12.0,False
11,13,89.26735590881913,13.0,False
12,1,64.87787969665214,1.0,False
12,2,84.71504695892875,2.0,False
12,3,-89.41555424811891,2.0,False
12,4,-59.12099149886542,3.0,False
12,5,-13.839113747677326,4.0,False
12,6,22.68553612287955,5.0,False
12,7,21.213045836837672,6.0,True
12,8,-30.79718284043252,7.0,False
12,9,60.79947561467949,8.0,False
12,10,81.49609450776624,9.0,False
12,11,65.49800758112549,10.0,False
12,12,52.4119489655875,10.0,False
12,13,-78.12572064381126,12.0,False
12,14,-89.74901204603378,13.0,True
13,1,64.60894074785394,1.0,False
13,2,85.2337430321373,2.0,False
13,3,-58.94260892285971,3.0,False
13,4,-14.008142688510842,4.0,False
13,5,24.366405479658283,5.0,False
13,6,30.1148947312959,6.0,False
13,7,-30.87425743218956,7.0,False
13,8,24.788914396439356,6.0,False
13,9,61.08193202153047,8.0,False
13,10,80.94357202162057,9.0,False
13,11,65.63455307563824,10.0,False
13,12,52.57451705405941,10.0,False
13,13,-78.54903680945677,12.0,True
13,14,67.20266017532362,13.0,False
13,15,-78.5922003595393,13.0,False
14,1,65.79634271751468,1.0,True
14,2,85.20738701132457,2.0,False
14,3,-58.80948275162504,3.0,False
14,4,-13.930997845727743,4.0,False
14,5,24.425463924074013,5.0,False
14,6,27.219360985021783,6.0,False
14,7,-31.349417483860467,7.0,False
14,8,55.10252110175137,6.0,False
14,9,61.3381554204742,8.0,False
14,10,80.6928342021445,9.0,False
14,11,65.3796975500218,10.0,False
14,12,53.07204254179809,10.0,False
14,13,-75.97624674228096,12.0,False
14,14,-75.14021498692185,12.0,False
14,15,68.14130986558355,13.0,False
14,16,-78.06042593208839,13.0,False
15,1,67.13411930571026,1.0,False
15,2,62.842410417454936,1.0,False
15,3,85.3341026373023,2.0,False
15,4,-59.05921201964002,3.0,False
15,5,-14.635807552632665,4.0,False
15,6,24.19545095782288,5.0,False
15,7,23.856425235376047,6.0,False
15,8,-31.127392968763264,7.0,False
15,9,61.570887461268974,8.0,False
15,10,81.40485840537607,9.0,False
15,11,67.4638452642313,10.0,False
15,12,52.8287260266908,10.0,False
15,13,-79.738097699978,12.0,False
15,14,-74.55146375533387,12.0,False
15,15,70.50441565064057,13.0,False
15,16,-77.91325916556244,13.0,False
16,1,66.18607096442595,1.0,False
16,2,85.42564030522983,2.0,False
16,3,-59.28602937876212,3.0,False
16,4,-14.6584267606692,4.0,False
16,5,25.841248314410542,5.0,False
16,6,24.023780771947944,6.0,False
16,7,-29.355648248605547,7.0,False
16,8,60.630178707436976,8.0,False
16,9,81.11473816548117,9.0,False
16,10,72.35335064072032,10.0,False
16,11,53.30081312805764,10.0,False
16,12,-82.9491459576867,12.0,False
16,13,-72.95208602571043,12.0,False
16,14,69.24119042210779,13.0,False
16,15,-77.11701806850421,13.0,False
17,1,66.73366367210869,1.0,False
17,2,85.11796025965837,2.0,False
17,3,-59.38662238773951,3.0,False
17,4,-14.733307526541388,4.0,False
17,5,26.86949260717747,5.0,False
17,6,24.913133799427516,6.0,False
17,7,-29.838408986929625,7.0,False
17,8,61.05565660477855,8.0,False
17,9,81.28359469079521,9.0,False
17,10,77.21102121803523,10.0,False
17,11,53.818809348931154,10.0,False
17,12,87.39783042654562,12.0,False
17,13,-73.52022444291875,12.0,False
17,14,65.22012962262924,13.0,False
17,15,-76.53976271877214,13.0,False
18,1,67.0773988547612,1.0,False
18,2,85.06682530269666,2.0,True
18,3,-59.49327642245512,3.0,False
18,4,-14.731890795314712,4.0,False
18,5,27.76831135469132,5.0,False
18,6,25.30931939712456,6.0,False
18,7,-29.524725702117287,7.0,False
18,8,61.30969629013136,8.0,False
18,9,81.5168686202801,9.0,False
18,10,-75.47848425638792,10.0,False
18,11,60.01619623757038,10.0,False
18,12,82.76414357111217,12.0,False
18,13,-74.66370698863584,12.0,False
18,14,66.81982327198465,13.0,False
18,15,-76.67890710603554,13.0,False
19,1,67.45084072625446,1.0,True
19,2,81.9080768863837,2.0,False
19,3,-89.84459081938697,2.0,False
19,4,-58.74498410229558,3.0,False
19,5,-15.236108678696112,4.0,False
19,6,28.358722304682903,5.0,False
19,7,25.862921331835764,6.0,True
19,8,-29.02711181196812,7.0,False
19,9,61.82647861105393,8.0,False
19,10,80.93000398266315,9.0,False
19,11,-71.619798670538,10.0,False
19,12,59.34515477604274,10.0,False
19,13,78.02329043504994,12.0,False
19,14,-84.53538931606633,12.0,False
19,15,41.46914189205103,13.0,False
19,16,-84.9097847756835,13.0,False
20,1,66.92100162363965,1.0,False
20,2,67.75812609505181,1.0,False
