CellNumber,GrowthRate,BirthLength,LifeHistory
221,0.0287135917260127,20,26
222,0.00963676173785477,21,51
223,0.0299099913812632,20,25
224,0.0266595069446133,20,27
225,0.0295866878477935,21,26
226,0.0202284098186,21,29
227,NaN,4,1
228,0.023850888712245,20,35
229,0.0238510490205591,20,29
230,0.027826223857319,20,25
231,0.0282432620129068,18,31
232,0.133531392624523,7,2
233,-0.029445758914096,9,5
234,0.0260577539124675,23,16
235,0.0320926943086197,20,21
236,-0.405465108108164,6,2
237,-0.0364814305557866,20,39
238,0.0259929130763313,22,24
239,0.0290360596772024,20,24
240,0.0287682072451781,21,11
241,0.0259929130763313,22,24
242,0.0162276986150718,21,25
243,0.0577622650466621,15,13
244,0.00650458380184879,26,23
245,0,21,12
246,0.0315066900254521,20,23
247,0.0445831478641694,15,23
248,0.0124935364032138,30,22
249,0.0270310072072109,24,16
250,0.0267638178172436,22,15
251,0.0152731870883046,20,48
252,0.0319018843984376,24,20
253,0,6,2
254,0.0239334627332057,20,32
255,0.0254341083988474,20,32
256,0.00543821106185186,22,17
257,0.0338957340963266,12,29
258,0.0328526501632959,19,37
259,0.0337244247604263,20,23
260,0.0248236630301565,19,22
261,0.0225258393393425,20,19
262,-0.0244339123653126,22,7
263,0.0303123109082175,16,3
264,0.0178425452114957,22,22
265,0.0203647601148618,23,23
266,0.0284684286074105,22,22
267,0.0221097908633856,22,22
268,0.0335272246877627,22,23
269,-0.0108603369895829,26,58
270,0.0425409585659453,6,45
271,0.0275699543521471,9,56
272,0.0282411296191887,21,22
273,0.0286259596385665,22,21
274,0.027826223857319,20,25
275,0.0309519604203112,21,21
276,0.182321556793955,5,2
277,0.0835175312330245,10,16
278,0.015453440937155,23,16
279,0.0188111704950199,24,32
280,0.0106258833959147,28,22
281,0.0354109648331158,12,35
282,0.00606960875566012,21,23
283,0.0225258393393425,24,19
284,0.0290360596772024,20,24
285,-0.0105360515657826,20,11
286,0.0330070085980926,23,22
287,0.0285506587105072,24,26
288,0.0256721177985165,21,28
289,0.028857907476919,17,27
290,0,14,4
291,0.0912614657226497,17,15
292,NaN,8,1
293,0.0614429475159365,22,15
294,-0.034484048629173,24,11
295,0.0242712909707711,27,8
296,0.0295943280983577,26,18
297,0.0285272429233806,26,21
298,0.0101366277027041,24,41
299,0.027842347443861,11,7
300,0.073720928746939,20,12
301,0.0336775995747841,22,18
302,0.029453462522917,24,20
303,0,18,48
304,0.0280155224517614,21,24
305,0.0175301972372462,20,26
306,0.0249098750314842,22,25
307,0.107695729023114,26,5
308,0.0299403282287301,16,29
309,0.154150679827258,6,2
310,0.0412666126678282,13,25
311,0,18,2
312,0.0186929020345118,20,19
313,0.154150679827258,6,2
314,0.100331067027161,9,13
315,0,7,4
316,0.122181816464595,19,6
317,-0.8754687373539,12,2
318,0.0274366801912256,19,20
319,0.0292169953954104,20,16
320,-0.147277584093013,14,4
321,0.135155036036055,22,4
322,0.0195928888300706,20,31
323,0.0172482178717379,14,5
324,NaN,9,1
325,0.238877861256859,5,5
326,0.029389333245106,20,21
327,0.0233173244973093,20,25
328,0.0358389709256486,20,23
329,0.0431593379260886,14,27
330,0.0304617119243294,22,23
331,0.0268063064934099,22,26
332,NaN,7,1
333,0.0283197737460401,21,21
334,0.0341828472928722,20,22
335,0.0304706955078529,24,27
336,0.0306552236443204,26,21
337,0.014722879457048,8,9
338,0.0136994870940572,36,3
339,0.0556858077431166,16,17
340,0.00170281002906017,23,73
341,0.029197163668026,22,33
342,-0.103173201401037,13,7
343,0.0754588462282935,24,6
344,0.0515317761312053,9,25
345,NaN,6,1
346,0,7,2
347,-0.105360515657826,10,2
348,0.0322581454230164,20,24
349,0.025919815005147,22,20
350,0.0204349404019885,25,24
351,0.0209375484833356,25,28
352,-0.0394228680182135,22,21
353,0.0172038181489571,24,12
354,0.025555941952266,20,24
355,0.0170662010538344,22,13
356,0.0262711814555628,14,26
357,0.0264285531762521,19,17
358,0.135155036036055,6,4
359,0.0353354458454362,25,15
360,0.036414071082719,21,18
361,0.0220341844199147,19,37
362,0.0261529156774346,18,23
363,0.0222921839961708,21,17
364,-0.0172313166436982,20,26
365,0.405465108108164,4,2
366,-0.139903946983856,14,5
367,0.189421425424379,15,5
368,0,12,2
369,0.0206337940934749,25,20
370,0.0039699424434525,27,19
371,0.0261529156774347,18,12
372,0.0267439119238498,20,25
373,0.0297229119948944,21,13
374,0.029891850037781,22,21
375,0.0289617934362974,24,15
376,0.0303869261323258,25,7
377,0.0919311950313293,27,5
378,0.0445104642081742,14,4
379,0.0351768917926996,22,15
380,0.0272628187033967,22,22
381,0.0289617934362974,32,15
382,0.0361437536745083,12,19
383,0,28,32
384,0.0263280493933652,14,47
385,-0.0800427076735364,13,2
386,NaN,8,1
387,0.109391169354599,8,15
388,0.0216608493924983,22,33
389,0.0251045971898618,23,21
390,0.0675775180180274,4,7
391,0,3,2
392,0.0265314125531085,20,21
393,0.139761942375159,20,2
394,0,6,2
395,0.0305967640824191,19,17
396,0.0320926943086197,20,21
397,0.0286628534297506,15,24
398,0.0255760116766634,18,27
399,0,6,4
400,0.0209776101822519,21,28
401,0.0241194659573714,20,23
402,0.0133404512789227,12,7
403,0.0557858878285524,4,5
404,0.0656779536389071,14,11
405,0.0257452488600364,21,23
406,0.366204096222703,4,4
407,-0.0866433975699932,16,9
408,0.0267957840907653,22,10
409,0.0240865771156316,23,25
410,0.0183850804704363,19,24
411,0.0289085803054544,18,23
412,0.0519098411945611,13,5
413,0.0770163533955494,22,10
414,0.0347680864417737,14,14
415,-0.00929778286956079,18,36
416,0.0257660138562145,18,30
417,0.0262521825075541,16,18
418,0.0284684286074105,22,22
419,0.0173811414142409,23,20
420,0,6,3
421,0.0707228814053208,6,20
422,0.0202732554054082,20,21
423,0.0192970961357042,28,30
424,0.0403475171612954,15,22
425,0.0230552423045037,21,15
426,0.0286259596385665,22,21
427,0.0292945542423921,20,22
428,-0.0567694644731522,21,18
429,0.0264357951023215,24,28
430,-0.0298626578204676,24,61
431,-0.0359602590564726,8,9
432,0.0631307827731784,7,29
433,0.135966857741821,16,3
434,-0.041097438921683,12,8
435,0.0394647680897369,22,8
436,0.356674943938732,14,2
437,NaN,4,1
438,0.0991178512911155,16,7
439,-0.128864981372247,13,7
440,0.0242117737884748,18,35
