CellNumber,GrowthRate,BirthLength,LifeHistory
190,0.154759802,7,5
191,0.051586601,21,13
192,0.026739066,24,34
193,0.025785379,21,24
194,-0.095894024,8,4
195,0.027031007,24,16
196,0.028527243,26,21
197,0,18,2
198,0.027188185,20,30
199,0.029288955,21,23
200,0.065480833,8,19
201,0.045506127,12,28
202,0.018879849,21,31
203,0.023927993,20,31
204,0.024793728,16,10
205,-0.056459167,25,14
206,0.021554239,22,31
207,0.061828112,10,13
208,0.02100446,20,34
209,0.027603429,19,21
210,0.026659507,19,27
211,0.029666345,34,14
212,0.028325546,34,16
214,-0.048225828,10,20
215,0.223143551,4,2
216,0.023850889,20,35
217,0.022359586,20,32
218,0.030312311,16,3
219,0.023418341,22,17
220,0.029021205,22,16
221,0.028713592,20,26
222,0.009636762,21,51
223,0.029909991,20,25
224,0.026659507,20,27
225,0.029586688,21,26
226,0.02022841,21,29
228,0.023850889,20,35
229,0.023851049,20,29
230,0.027826224,20,25
231,0.028243262,18,31
232,0.133531393,7,2
233,-0.029445759,9,5
234,0.026057754,23,16
235,0.032092694,20,21
236,-0.405465108,6,2
237,-0.036481431,20,39
238,0.025992913,22,24
239,0.02903606,20,24
240,0.028768207,21,11
241,0.025992913,22,24
242,0.016227699,21,25
243,0.057762265,15,13
244,0.006504584,26,23
245,0,21,12
246,0.03150669,20,23
247,0.044583148,15,23
248,0.012493536,30,22
249,0.027031007,24,16
250,0.026763818,22,15
251,0.015273187,20,48
252,0.031901884,24,20
253,0,6,2
254,0.023933463,20,32
255,0.025434108,20,32
256,0.005438211,22,17
257,0.033895734,12,29
258,0.03285265,19,37
259,0.033724425,20,23
260,0.024823663,19,22
261,0.022525839,20,19
262,-0.024433912,22,7
263,0.030312311,16,3
264,0.017842545,22,22
265,0.02036476,23,23
266,0.028468429,22,22
267,0.022109791,22,22
268,0.033527225,22,23
269,-0.010860337,26,58
270,0.042540959,6,45
271,0.027569954,9,56
272,0.02824113,21,22
273,0.02862596,22,21
274,0.027826224,20,25
275,0.03095196,21,21
276,0.182321557,5,2
277,0.083517531,10,16
278,0.015453441,23,16
279,0.01881117,24,32
280,0.010625883,28,22
281,0.035410965,12,35
282,0.006069609,21,23
283,0.022525839,24,19
284,0.02903606,20,24
285,-0.010536052,20,11
286,0.033007009,23,22
287,0.028550659,24,26
288,0.025672118,21,28
289,0.028857907,17,27
290,0,14,4
291,0.091261466,17,15
293,0.061442948,22,15
294,-0.034484049,24,11
295,0.024271291,27,8
296,0.029594328,26,18
297,0.028527243,26,21
298,0.010136628,24,41
299,0.027842347,11,7
300,0.073720929,20,12
301,0.0336776,22,18
302,0.029453463,24,20
