TimeStep,CellNumber,Orientation
17,14,-12.8476465199196
17,15,-36.2596366851645
17,17,18.0222338913758
17,18,-3.54256439732688
17,20,-10.7188465137171
17,21,-27.6774082523397
17,22,-11.0236966616339
17,23,-23.1536523581344
17,24,76.1376063039941
17,25,72.8735774421297
18,1,-63.6313796165013
18,2,60.4135558875033
18,6,-4.86071101459495
18,7,-28.8842243878218
18,11,30.6412770582178
18,12,14.0571787645063
18,13,-21.2124590820815
18,15,-29.5177398038788
18,17,16.7300133840305
18,18,-7.47672441035336
18,20,-10.8864723776526
18,21,-25.4186803034452
18,22,-9.84645020940172
18,23,-22.6760138601259
18,24,75.2184513234124
18,25,72.6108484506453
18,26,16.1218019975808
19,1,-63.14960862407
19,2,60.9331301062724
19,6,-4.93678996034011
19,7,-27.9563127821721
19,11,31.1828411996473
19,13,-46.3900059306293
19,15,-30.2892479306476
19,20,-11.1341752278279
19,21,-24.52988359173
19,22,-11.1337800934644
19,23,-22.6682557897207
19,25,72.1091864994503
19,26,20.0785577065667
19,27,5.73348920952935
19,28,-12.5194540715566
19,29,74.0308382276167
20,1,-62.8928310064252
20,2,61.0394616712399
20,6,-4.96813528286353
20,7,-29.0566317895304
20,11,32.0960285636075
20,13,-51.5037147046031
20,15,-30.0734616755154
20,20,-10.4612061518577
20,21,-23.1092800430355
20,22,-10.3010980513286
20,23,-23.7226163389501
20,25,72.8875518571868
20,26,22.7186924270819
20,27,2.46852125195721
20,28,-14.6211049935337
20,29,73.7187600930325
20,30,2.6479473083275
21,1,-62.0186636205113
21,2,61.6001269731007
21,6,-5.66934525127563
21,7,-27.137927419098
21,11,32.030105926523
21,13,-52.6809075484929
21,15,-30.3668522361351
21,20,-11.4694969885723
21,22,-10.5802079702379
21,25,72.3273201515493
21,26,25.2824711922895
21,27,3.84724187920017
21,28,-15.7642047965044
21,29,74.5452115513978
21,30,5.44394230101852
22,1,-62.1575948616112
22,2,61.7367820600752
22,6,-5.74325064435176
22,7,-27.4272015890811
22,11,31.572960774465
22,13,-53.4583170374453
22,15,-29.6229887631967
22,20,-11.4945740315758
22,22,-12.2619234936479
22,25,72.8768094303605
22,26,28.8767010413988
22,27,3.5775420420257
22,28,-15.5254439329111
22,29,74.4093738221358
22,30,4.00391912361316
22,31,-22.6873289550301
23,1,-62.0649639503998
23,2,62.8106824972553
23,6,-5.61375255191102
23,7,-27.5103699660936
23,11,31.5427781516389
23,13,-52.7232823136717
23,15,-29.4083570829846
23,20,-10.5945341447468
23,22,-14.0027384459456
23,25,70.2646067911434
23,26,30.9343448552129
23,27,3.65869545019791
23,28,-15.6513532807928
23,29,68.752689871382
23,30,4.91664375207171
23,31,-23.058603184107
23,32,6.04541164170212
24,1,-62.0639583786839
24,2,62.5792036650524
24,6,-5.68115139312614
24,7,-27.1668340784256
24,11,32.5006759644456
24,13,-52.5443610777435
24,15,-28.0178400848687
24,20,-9.98068393589686
24,22,-9.20704249569124
24,25,69.9927314372495
24,26,30.7932224099933
24,27,2.85716457940612
24,28,-15.709653848956
24,29,68.4724247631554
24,30,4.85850460182678
24,31,-24.9125794227235
24,32,7.77130661679416
25,1,-61.3388615771772
25,2,62.2237343518539
25,6,-5.51596446095165
25,7,-26.3141466048623
25,11,31.4048507506761
25,13,-53.6279409672925
25,15,-27.064378726424
25,20,-7.35327077355626
25,25,69.7405845924626
25,26,30.8398219644466
25,27,2.90945724739288
25,28,-15.8823454826086
25,29,69.0634895190831
25,30,4.99779365226438
25,31,-24.7191987639836
25,32,8.84671260168125
26,1,-60.8858740768266
26,2,62.7459000835175
26,6,-5.54404722976014
26,7,-24.5128361346425
26,11,31.6885242573161
26,13,-51.5404492839019
26,15,-26.2215493788865
26,20,-4.72585761121569
26,25,66.2275515583059
26,26,32.5449349792246
26,27,1.9487873265295
26,28,-16.1754408992394
26,29,68.8333221499611
26,30,4.72815080581881
26,31,-25.0626639197488
26,32,11.0258670985696
26,33,-8.1578752745454
27,1,-60.2122698636695
27,2,63.6278102730758
27,7,-24.8153578180008
27,11,32.0353703061148
27,13,-52.9080792886946
27,15,-25.6611382139146
27,20,-9.54646192478164
27,25,64.708798923927
27,26,32.9677766317201
27,27,1.84050466831117
27,28,-17.214348685876
