CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
4063,0,18,2,126.201222840192,18,0.626608817435433
4064,0,25,1,NaN,NaN,NaN
4065,0.0479470120752969,18,4,52.2332057342138,22.5,-0.0548949081750664
4066,0,1,1,NaN,NaN,NaN
4067,0.020208207272145,16,2,130.901694622396,16.5,0.234992659562155
4068,-0.119777000162819,24,3,46.8697033985444,19.3333333333333,1.38627846222804
4069,0.0232936570625265,20,4,49.9220601751972,22,1.18068655113393
4070,0.0224804269318442,43,2,133.245102560622,44.5,0.223584437929008
4071,0,23,4,45.1876030595976,23.5,1.11991160042314
4072,0,1,1,NaN,NaN,NaN
4073,0.0479470120752968,21,4,73.6403970696781,24.5,-0.318191910256464
4074,0.0138969348231751,23,4,80.6764576024967,24,-0.811379854024143
4075,0,17,1,NaN,NaN,NaN
4076,0.0334451159103586,18,4,41.987386046275,20.5,1.23796710024981
4077,0,20,4,44.2191288395395,20.25,1.15797243646503
4078,0.120091025791343,18,4,28.3678173692905,26.5,1.4635065421365
4079,0.0547506778286727,18,4,70.620999317334,21.25,-0.573389455299176
4080,0.0371905918857016,20,4,75.4379437159655,22,-0.329281277788612
4081,-0.0743811837714032,25,2,97.7182549715902,22.5,1.10335314435233
4082,0.0244339123653126,19,4,51.9648301895167,20.75,1.06545148689893
4083,0.0708138656608777,17,4,50.205962657825,23,1.09507714386101
4084,-0.0145018961649383,24,4,50.3199518835239,23,1.12047129225393
4085,0.070476141803339,19,4,77.3842220741338,23.75,-0.360482284619368
4086,0.0542370667391046,26,4,73.3284165089017,30.75,-0.133540472267396
4087,0.0495419205779886,26,4,79.5413839072753,30.5,-0.124542121693407
4088,0.0170977647958502,19,2,82.3209334516131,19.5,-0.0347982616744764
4089,0.0522762598091736,19,4,43.819625986661,23,1.2342521596573
4090,0,7,1,NaN,NaN,NaN
4091,-0.00775333593914884,22,4,50.1677855367703,21.75,1.02969872387067
4092,0.040193676136148,22,4,52.6631704850209,23.75,1.05041845836048
4093,0.00565025861261355,29,4,44.9158237391626,29.5,0.725243888189462
4094,0.0355956833830099,21,4,50.0777109300705,23.25,1.15398265344614
4095,0.0560787061035355,20,4,46.4880140412307,24,1.22119351917755
4096,0.044283860955501,23,4,45.5246771943099,25.75,0.736998952287426
4097,0.0315403332730881,24,4,75.1423687915289,25.75,-0.0986621481111972
4098,0.0437273774112485,20,4,80.5029640356887,23,-0.139092034180799
4099,-0.0107564201895952,32,4,44.3046220716803,28.25,1.27353862640713
4100,0.0437273774112485,20,4,41.8369590774257,23,1.2957377826801
4101,0.0247026573845739,26,2,136.055866804912,27,0.300534943738466
4102,0.0479470120752968,24,4,70.7469768740649,27.75,-0.0163884113750819
4103,-0.0512474499579935,34,4,48.6480609239877,24.75,1.00418931254394
4104,0.0266809025578455,24,2,104.260748105922,25,1.20148637343934
4105,0.0747716081380473,20,3,65.6158749917497,22.6666666666667,1.20182208532322
4106,0,38,1,NaN,NaN,NaN
4107,0.0803063478154564,21,4,60.1841410563954,25.25,0.688441603887986
4108,0.0386336023428874,23,4,77.3090602921454,26.25,-0.252318898772367
4109,0.0426555623562001,24,4,82.4285314140971,27,-0.220109090400747
4110,0.105998127786666,18,4,67.8968910055085,26.5,0.322059267343165
4111,-0.0488678247306253,22,2,138.407402059075,20.5,-0.120377372448274
4112,0.213951295390798,20,2,108.902183823355,29,0.786131766264965
4113,0.00584855330187839,28,4,58.9833702811985,28.25,0.659170112351692
4114,-0.055684694887722,26,2,88.266062870344,24,1.45372841710873
4115,0.0479470120752968,24,4,49.5045746162155,25.25,-0.740796744162956
4116,0.0317700599347751,20,2,144.817908242397,21,-0.199006794778333
4117,0.0479470120752968,24,4,61.1213133059336,26,0.406133802775041
4118,0.0437273774112485,20,4,77.9954589453268,23.25,-0.235164697150831
4119,0.0303869261323258,20,4,82.2971238452599,21.5,-0.194059083014153
4120,0.0560787061035355,20,4,50.4648640992972,23.25,1.21384152323851
4121,-0.00653678552554693,26,4,55.8591942801005,24.5,1.21901169388327
4122,0.0868828206055477,19,4,63.6327589680245,26.75,0.531703665333332
4123,-0.199279000251873,40,2,115.514168066148,31,0.458981539250396
4124,0.0162633880564774,20,2,129.59904399468,20.5,0.0899235691815732
4125,0.0133404512789227,24,4,66.2694335942546,24.75,0.248011085017858
4126,-0.0121225480569582,28,2,88.9425796091507,27.5,-1.39579897621219
4127,0.0244339123653126,19,4,68.6253325744434,20.25,0.145130473590821
4128,0,36,1,NaN,NaN,NaN
4129,0.0479470120752968,21,4,62.2361148327531,24.75,0.575240806090335
4130,-0.0170977647958502,20,2,126.213114886658,19.5,0.970451695811149
4131,0.0503801453121556,17,4,88.1716909744605,20,0.912727492144836
4132,0.0547506778286727,18,4,86.8377438406249,21.75,0.735674805074276
4133,0,23,1,NaN,NaN,NaN
4134,0.0537955653771752,21,4,64.2263076643056,25,0.709942249486233
4135,0,20,2,119.544516436573,20,0.378380233085477
4136,0.0522762598091736,19,4,69.7093355007083,22.25,-0.0497611856051525
4137,0.0920844588760527,22,2,115.834872217976,25.5,1.17253769175188
4138,0,18,1,NaN,NaN,NaN
4139,0,29,1,NaN,NaN,NaN
4140,0.0646275885014606,19,4,81.1627290811342,23.25,1.11388341005651
4141,0.0222552321040871,21,4,79.3048195968588,23,0.358933064620028
4142,0,27,1,NaN,NaN,NaN
4143,-0.0675775180180274,27,4,49.6632704517908,22.5,-1.34117752998839
4144,0.0574734143819549,17,4,57.672907390371,22.75,0.608848192687034
4145,0,10,1,NaN,NaN,NaN
