CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
263.0,8.10147857666016,8.10147857666016,0.0,1.0,0.0
264.0,13.4752855300903,13.4752855300903,0.0,1.0,0.0
267.0,11.4344043731689,23.882750299241806,-1.662,18.0,-0.002
268.0,12.3487854003906,12.268423716227199,-1.649,3.0,0.005
269.0,12.7530307769775,13.56729388237,-0.667,4.0,0.028
270.0,5.07430839538574,5.07430839538574,0.0,1.0,0.0
271.0,28.5729198455811,28.5729198455811,0.0,1.0,0.0
275.0,22.6475582122803,22.6475582122803,0.0,1.0,0.0
277.0,21.6412830352783,24.205427805582662,0.658,6.0,0.025
278.0,8.66005420684814,8.66005420684814,0.0,1.0,0.0
279.0,26.1814575195313,21.753784656524676,-0.893,4.0,-0.087
281.0,8.02591323852539,8.02591323852539,0.0,1.0,0.0
284.0,11.6627864837646,18.174118536489978,-0.317,27.0,0.001
285.0,8.91007709503174,23.425288362323123,-0.673,53.0,0.004
286.0,19.2685985565186,20.889490763346366,-0.408,6.0,0.018
287.0,13.6672172546387,15.722828759087454,0.519,9.0,0.019
288.0,9.79017066955566,12.690679359436032,-0.529,5.0,0.059
289.0,26.2544937133789,24.9999713897705,-0.237,5.0,-0.003
290.0,5.93388319015503,5.93388319015503,0.0,1.0,0.0
291.0,23.7678241729736,35.35532196362815,0.003,24.0,0.025
292.0,23.6848926544189,26.0779047012329,-0.316,2.0,0.061
294.0,14.3614587783813,12.251630783081051,-1.23,2.0,-0.116
295.0,6.52694320678711,6.52694320678711,0.0,1.0,0.0
296.0,3.62745380401611,3.62745380401611,0.0,1.0,0.0
297.0,23.3589668273926,23.3589668273926,0.0,1.0,0.0
299.0,13.242787361145,15.335784530639662,0.103,10.0,0.019
300.0,4.99811601638794,4.99811601638794,0.0,1.0,0.0
301.0,14.9240131378174,15.55573251512316,-0.29,18.0,-0.003
302.0,8.50871849060059,8.50871849060059,0.0,1.0,0.0
303.0,25.5453777313232,27.602501782503985,-0.863,11.0,-0.018
305.0,31.4870338439941,30.82770500183104,0.016,5.0,0.0
306.0,10.5291404724121,23.26807806226943,0.105,27.0,0.031
307.0,11.6206817626953,15.963971138000485,0.162,17.0,0.023
308.0,7.78693437576294,7.78693437576294,0.0,1.0,0.0
309.0,13.2362508773804,11.933703104654967,-0.921,3.0,-0.044
310.0,7.86972045898438,7.86972045898438,0.0,1.0,0.0
311.0,8.82162189483643,8.82162189483643,0.0,1.0,0.0
312.0,11.0935678482056,11.0935678482056,0.0,1.0,0.0
313.0,24.1732635498047,25.078456878662124,-0.561,4.0,0.015
314.0,12.0922842025757,24.385093688964854,-0.979,11.0,0.066
315.0,19.8887424468994,24.40289774808016,-0.365,11.0,0.019
316.0,9.4628267288208,14.218484560648594,-0.523,15.0,0.003
317.0,16.628870010376,18.631075314113076,-0.596,14.0,0.003
318.0,20.3006801605225,20.3006801605225,0.0,1.0,0.0
319.0,17.3807220458984,21.816547121320458,-0.101,7.0,0.044
320.0,10.1919565200806,10.1919565200806,0.0,1.0,0.0
321.0,13.3903713226318,14.993615422930029,-0.243,7.0,-0.026
322.0,27.7395706176758,27.412065013762444,-0.774,31.0,0.005
323.0,9.53602886199951,9.53602886199951,0.0,1.0,0.0
324.0,9.52610111236572,19.054035186767575,-0.562,24.0,0.029
325.0,16.7246246337891,19.798213686261885,-0.437,7.0,0.039
326.0,7.31819581985474,7.31819581985474,0.0,1.0,0.0
327.0,12.3194885253906,17.18017864227294,-0.091,8.0,0.053
329.0,32.2549095153809,28.88773155212405,-0.268,4.0,-0.029
330.0,7.19165897369385,7.19165897369385,0.0,1.0,0.0
331.0,12.8999700546265,12.8999700546265,0.0,1.0,0.0
333.0,13.9069814682007,16.224360160827647,-1.105,25.0,0.013
334.0,12.7858381271362,12.723804882594516,0.316,7.0,0.001
335.0,22.3137493133545,23.676139137961638,0.378,11.0,0.014
336.0,13.8030223846436,13.8018134435018,0.417,3.0,-0.002
337.0,25.6606369018555,33.88957759312221,-0.014,21.0,0.022
338.0,29.4634189605713,23.934024175008133,-2.345,3.0,-0.131
339.0,2.88035488128662,2.88035488128662,0.0,1.0,0.0
340.0,8.4175968170166,8.4175968170166,0.0,1.0,0.0
341.0,20.3056411743164,33.007786490700454,0.315,22.0,0.021
342.0,12.3745250701904,12.3745250701904,0.0,1.0,0.0
343.0,13.3709506988525,17.4981906073434,-0.728,14.0,0.016
344.0,32.9511260986328,32.9511260986328,0.0,1.0,0.0
345.0,9.11285305023193,23.410063450153068,0.417,13.0,0.068
346.0,9.02732181549072,9.02732181549072,0.0,1.0,0.0
347.0,14.6260871887207,14.983638763427749,0.078,2.0,0.016
349.0,4.96186780929565,4.96186780929565,0.0,1.0,0.0
350.0,11.8053941726685,11.7201442718506,-0.059,2.0,-0.005
